Req ID,Feature Description,Nature,Status,Implementation Details / Scope
CD-13,View earnings and trip history (for drivers).,BRD,Completed,Summaries and list widgets live in [driver_earnings_screen.dart](file:///var/www/ziggo/ziggo_app/lib/modules/driver/screens/driver_earnings_screen.dart) and [driver_history_screen.dart](file:///var/www/ziggo/ziggo_app/lib/modules/driver/screens/driver_history_screen.dart).
CD-14,In-app communication (call) with the other party (passenger or driver).,BRD,Completed,Integrated voice call routing via system dialer launcher on ride tracking screens.
CD-15,Rate and review the other party after the trip.,BRD,Completed,Mutual rating scales and feedback fields are processed in [rating_screen.dart](file:///var/www/ziggo/ziggo_app/lib/modules/customer/screens/rating_screen.dart) and [driver_rating_screen.dart](file:///var/www/ziggo/ziggo_app/lib/modules/driver/screens/driver_rating_screen.dart).
CD-16,View trip history and receipts (for both customers and drivers).,BRD,Completed,Displayed in [ride_history_screen.dart](file:///var/www/ziggo/ziggo_app/lib/modules/customer/screens/ride_history_screen.dart) and [driver_history_screen.dart](file:///var/www/ziggo/ziggo_app/lib/modules/driver/screens/driver_history_screen.dart).
CD-17,Emergency SOS button and share trip with contacts.,BRD,Completed,Panic button triggers emergency records in DB ([misc.py:L208](file:///var/www/ziggo/ziggo_backend/app/models/misc.py#L208)); `share_token` in [booking.py:L118](file:///var/www/ziggo/ziggo_backend/app/models/booking.py#L118) handles live sharing.
CD-18,"Receive push notifications via Firebase for booking status, driver arrival, promotions, and updates.",BRD,Completed,Configured in [fcm_service.py:L183](file:///var/www/ziggo/ziggo_backend/app/services/fcm_service.py#L183) with background pub/sub synchronization.
CD-19,Multi-stop trips – add up to two intermediate stops with a configurable waiting allowance per stop (exceeding it triggers standard waiting charges).,BRD,Partially Completed,"Fully implemented in backend DB ([booking.py:L137](file:///var/www/ziggo/ziggo_backend/app/models/booking.py#L137)) and provider; customer search UI [location_search_screen.dart:L386](file:///var/www/ziggo/ziggo_app/lib/modules/customer/screens/location_search_screen.dart#L386) has ""Add Stop"" button disabled."
CD-20,One-way or return-trip selection at booking.,BRD,Completed,UI toggles in [location_search_screen.dart:L263](file:///var/www/ziggo/ziggo_app/lib/modules/customer/screens/location_search_screen.dart#L263) pass to the fare calculations where return-trip fares are multiplied by 1.8x.
CD-21,Instant booking (Now) or scheduled booking (Later) with date and time picker.,BRD,Completed,Scheduled pick date/time picker is fully functional in [rental_home_screen.dart:L216](file:///var/www/ziggo/ziggo_app/lib/modules/customer/screens/rental_home_screen.dart#L216) and ride selection sheets.
CD-22,Add note to driver and apply promo code at booking.,BRD,Completed,Promos and notes are captured at checkout and processed in the matching dispatch engine.
CD-23,Saved Addresses with Home and Work shortcuts.,BRD,Completed,Managed under [saved_addresses_screen.dart](file:///var/www/ziggo/ziggo_app/lib/modules/customer/screens/saved_addresses_screen.dart) and hits the database endpoints.
CD-24,"Help & Support flow with last-five activity quick-access and category routing (Account & payment, App issues, Using Ziggo Rides).",BRD,Completed,Interactive categories and chat surfaces live in [support_screen.dart](file:///var/www/ziggo/ziggo_app/lib/modules/customer/screens/support_screen.dart) and [support_chat_screen.dart](file:///var/www/ziggo/ziggo_app/lib/modules/customer/screens/support_chat_screen.dart).
CD-25,"Notifications inbox with system, ride, and promotional alerts.",BRD,Completed,Alerts listing lives in [notifications_screen.dart](file:///var/www/ziggo/ziggo_app/lib/modules/customer/screens/notifications_screen.dart) fetching `/api/v1/customer/notifications`.
CD-26,"Activity history filtered by service category – Rides, Trucks, Food, Rentals, Delivery, Market, Courier, Events – with Ongoing, Completed, Complaint, and Cancelled tabs.",BRD,Completed,"Filter tabs are supported in [ride_history_screen.dart](file:///var/www/ziggo/ziggo_app/lib/modules/customer/screens/ride_history_screen.dart), separating Rides, Food, Market, Flash, etc."
CD-27,Camera permission flow for in-app QR scanning (basic Scan & Pay).,BRD,Completed,Camera scanning widgets are implemented in [qr_pay_scan_screen.dart](file:///var/www/ziggo/ziggo_app/lib/modules/customer/screens/qr_pay_scan_screen.dart).
CD-28,Basic business account: add a corporate profile for business-billed bookings.,BRD,Completed,Corporate profile views are wired up in [additional_settings_screen.dart](file:///var/www/ziggo/ziggo_app/lib/modules/customer/screens/additional_settings_screen.dart).
CD-29,About Us and app version display under the account menu.,BRD,Completed,Static text entries exist under settings and menus.
CD-30,Invite a Friend referral flow from the Earn-with-Ziggo screen.,BRD,Missing / Planned,"Referral bonus database schemas are referenced in historical dumps, but no active python code in `ziggo_backend/app` or Flutter UI implements referral/invite mechanics."
CD-31,ETA sharing – user can share their real-time estimated time of arrival with selected contacts directly from the active trip screen.,BRD,Completed,Enabled on the active trip screen by generating a `share_token` targeting the public `/trip/share/{token}` view.
CD-32,"Account deletion – user can permanently delete their Ziggo account from within the app settings, with a confirmation step and data-erasure notice.",BRD,Completed,Soft-delete endpoint [customer.py:L49](file:///var/www/ziggo/ziggo_backend/app/api/v1/customer.py#L49) scrubs user details (PII) but retains transaction records for Inland Revenue auditing.
CD-33,"Automated complaint responses – minor and routine support complaints receive instant automated responses, with escalation to a live agent for complex issues.",BRD,Completed,"Created in [misc.py:L282](file:///var/www/ziggo/ziggo_backend/app/api/v1/misc.py#L282). Creates a keyword-routed auto-reply message if matches occur (e.g. overcharges, accidents)."
CD-34,Simple profile completeness indicator – shows the user how complete their profile is and prompts them to fill missing fields.,BRD,Completed,Completeness percentage is calculated on backend via `compute_profile_completeness` ([auth_service.py:L138](file:///var/www/ziggo/ziggo_backend/app/services/auth_service.py#L138)) and sent to client.
RS-01,"Ride types available at booking: Car, Tuk, Bike (Moto), with vehicle availability shown as ETA (e.g., ""In 1 min"").",BRD,Completed,Available selections in [vehicle_selection_screen.dart](file:///var/www/ziggo/ziggo_app/lib/modules/customer/screens/vehicle_selection_screen.dart).
RS-02,Flex (premium car) as a separate ride class with its own fare.,BRD,Completed,"Implemented using the `'car'` vehicle class, which is mapped directly to the UI label `'Flex'` in [vehicle_selection_screen.dart:L817](file:///var/www/ziggo/ziggo_app/lib/modules/customer/screens/vehicle_selection_screen.dart#L817) and priced separately."
RS-03,Reserve / scheduled rides (Later) – pickup date and time scheduling.,BRD,Completed,Scheduled pick options are wired to dispatch queues.
RS-04,Long-distance / intercity rides – basic option for bookings between cities.,BRD,Missing / Planned,No long-distance or city-to-city routing logic exists in the fare calculator or matching rules.
RS-05,"Seniors rides – a ride variant for senior passengers (basic label, no special driver policies).",BRD,Missing / Planned,Missing from the fare engine classes list and the frontend selection options.
RS-06,"Teens rides – a ride variant for teen passengers (basic label, standard safeguards).",BRD,Missing / Planned,Missing from the selection options and matching constraints.
RS-07,Per-ride loyalty points earning displayed at vehicle selection.,BRD,Completed,The calculate fare response calculates and displays `points_earnable` next to the vehicle options ([fare_service.py:L430](file:///var/www/ziggo/ziggo_backend/app/services/fare_service.py#L430)).
RS-08,"""Meet your driver here"" pickup-point indicator on the map for high-density areas.",BRD,Completed,Renders static text instructions and map markers on `confirm_pickup_screen.dart`.
RS-09,"AI-powered drop location suggestions – recommends destinations based on current location, time of day, and usage history.",BRD,Missing / Planned,"Suggestions lists in the search views are hardcoded static Colombo places ([places.dart](file:///var/www/ziggo/ziggo_app/lib/core/map/places.dart)), not AI-derived."
RT-01,"Hourly rental booking – user can book a vehicle for a set number of hours, with the driver waiting throughout.",BRD,Completed,Users can select 1-24 hour durations in [rental_home_screen.dart](file:///var/www/ziggo/ziggo_app/lib/modules/customer/screens/rental_home_screen.dart).
RT-02,Scheduled pickup – pickup date and time selection (Now or Schedule).,BRD,Completed,Date/Time selections load in `_buildTimeToggle()` in `rental_home_screen.dart`.
RT-03,"Vehicle selection for rentals (Car, Van).",BRD,Completed,"Users can choose between Mini, Car, Minivan, and Van in `_vehicles` ([rental_home_screen.dart:L30](file:///var/www/ziggo/ziggo_app/lib/modules/customer/screens/rental_home_screen.dart#L30))."
RT-04,Transparent rental rate displayed before confirmation.,BRD,Completed,"Rates are shown as ""Rs.X/hr"" on the vehicle cards. Fares calculate using the `is_rental` parameters in [fare_service.py:L113](file:///var/www/ziggo/ziggo_backend/app/services/fare_service.py#L113)."
PD-01,One-way trip selection.,BRD,Completed,Default trip mode on booking sheets.
PD-02,Return-trip selection with waiting handled at the drop location.,BRD,Completed,Selection works in [location_search_screen.dart](file:///var/www/ziggo/ziggo_app/lib/modules/customer/screens/location_search_screen.dart). It doubles the legs distance and applies a 1.8x price multiplier in [fare_service.py:L312](file:///var/www/ziggo/ziggo_backend/app/services/fare_service.py#L312).
PD-03,"Pickup location selection via map, search, or saved address.",BRD,Completed,Selection hooks into stored customer addresses.
PD-04,"Drop location selection via map, search, or saved address.",BRD,Completed,Integrated into location search UI.
PD-05,Pickup date and time scheduling (Now or Schedule).,BRD,Completed,Supported across ride/rental/delivery checkout pages.
PD-06,Instant booking (Now) – immediate dispatch.,BRD,Completed,Spawns in-memory nearest search matching.
PD-07,Scheduled booking – deferred dispatch at the user’s chosen time.,BRD,Completed,Queued and managed by background scheduler workers.
PR-01,Parcel delivery as a top-level service with Flash (same-day) and basic Courier sub-types.,BRD,Completed,Top-level selections route to Flash same-day or Courier island-wide courier services.
PR-02,"Flash instant delivery – same-day, on-demand parcel pickup and drop.",BRD,Completed,Same-day checkout forms are fully complete in [flash_home_screen.dart](file:///var/www/ziggo/ziggo_app/lib/modules/customer/screens/flash_home_screen.dart).
PR-03,Basic courier delivery – standard parcel delivery for longer distances.,BRD,Completed,Sub-option in [courier_home_screen.dart](file:///var/www/ziggo/ziggo_app/lib/modules/customer/screens/courier_home_screen.dart) that prices parcels primarily by weight tiers ([fare_service.py:L164](file:///var/www/ziggo/ziggo_backend/app/services/fare_service.py#L164)).
PR-04,Send items – user dispatches a parcel from their location.,BRD,Completed,Pickup defaults to current position.
PR-05,Receive items – user requests pickup of a parcel addressed to them.,BRD,Completed,Users can swap pickup and drop locations to arrange delivery to their own location.
PR-06,Pickup and drop address capture with on-package address/contact-detail reminder.,BRD,Completed,"Warning banner displayed in `courier_home_screen.dart:L143-167` (""*Note: Make sure to write the drop address and contact details on the package box*"")."
PR-07,Basic truck delivery for moving goods – a single truck option with real-time tracking.,BRD,Completed,"Selected by choosing the `truck` vehicle type, which includes helper configurations in [vehicle_selection_screen.dart](file:///var/www/ziggo/ziggo_app/lib/modules/customer/screens/vehicle_selection_screen.dart)."
DV-01,"Food delivery – Rice & Curry, Burgers, Shawarma, Desserts, Chinese, Indian, Kottu, Pizza.",BRD,Completed,Listings screen is implemented in [food_home_screen.dart](file:///var/www/ziggo/ziggo_app/lib/modules/customer/screens/food_home_screen.dart).
DV-02,"Grocery delivery – Groceries, Fresh products, Dairy & poultry.",BRD,Completed,Grocery chips are supported in [market_home_screen.dart](file:///var/www/ziggo/ziggo_app/lib/modules/customer/screens/market_home_screen.dart).
DV-03,Pharmaceutical and health-product delivery.,BRD,Completed,Managed as a Category inside the [MarketVendor](file:///var/www/ziggo/ziggo_backend/app/models/market.py) model.
DV-04,Household items delivery.,BRD,Completed,Handled by partner market vendors in products catalogues.
DV-05,Personal care and baby-care delivery.,BRD,Completed,Handled by market vendor category routing.
DV-06,Flowers delivery.,BRD,Completed,Supported in category structures.
DV-07,Electronics delivery.,BRD,Completed,Supported in category structures.
DV-08,Pet supplies delivery.,BRD,Completed,Supported in category structures.
DV-09,Retail delivery (general merchandise).,BRD,Completed,Supported in category structures.
DV-10,Search bar across Food and Market verticals with auto-suggested terms.,BRD,Missing / Planned,Autocomplete suggestions in search views are missing in the food and market UIs.
DV-11,Favourite merchants / items via a heart icon on listings.,BRD,Completed,Customers can favorite restaurants ([food.py:L273](file:///var/www/ziggo/ziggo_backend/app/models/food.py#L273)) and view them in [market_favourites_screen.dart](file:///var/www/ziggo/ziggo_app/lib/modules/customer/screens/market_favourites_screen.dart).
DV-12,"""Picked Up For You"" personalised recommendation rail.",BRD,Completed,Powered by [FoodCollection](file:///var/www/ziggo/ziggo_backend/app/models/food.py#L237) categories configured by admin.
DV-13,Weather-aware delivery banner notifying users of possible delays.,BRD,Missing / Planned,No weather detection APIs or warning banners exist on the backend settings or the Flutter layouts.
DV-14,Menu recommendations – each merchant listing surfaces a curated highlight of that outlet’s popular or promoted items before entering the full menu.,BRD,Completed,Surfaced under menu detail pages before the full lists populate.
EV-01,Basic event discovery surface – a curated list of local events surfaced within the app.,BRD,Completed,Browse UI built in [event_home_screen.dart](file:///var/www/ziggo/ziggo_app/lib/modules/customer/screens/event_home_screen.dart) connecting to GET `/events`.
EV-02,"Event categories: Experiences, Charity, Fashion (extendable).",BRD,Completed,Supported on event detail screens.
EV-03,Search bar for event discovery.,BRD,Completed,Text filters search through active event records.
PY-01,Cash payments at trip/order completion.,BRD,Completed,Standard option across all services.
PY-02,Credit/debit card payments via PayHere.,BRD,Completed,Card transactions are verified via PayHere callbacks.
PY-03,In-app digital wallet – add and manage balance through PayHere.,BRD,Completed,Supported in [wallet_screen.dart](file:///var/www/ziggo/ziggo_app/lib/modules/customer/screens/wallet_screen.dart).
PY-04,"Add and manage multiple payment methods (cards, wallet) through PayHere.",BRD,Completed,Handled in [payment_methods_screen.dart](file:///var/www/ziggo/ziggo_app/lib/modules/customer/screens/payment_methods_screen.dart).
PY-05,Basic business account support – separate billing profile for corporate use.,BRD,Completed,"If `is_corporate=True`, the fare is debited from [CorporateAccount](file:///var/www/ziggo/ziggo_backend/app/models/corporate.py#L15)."
PY-06,Basic QR scan-to-pay – in-app QR code scanning for quick payment at supported points.,BRD,Completed,Quick payments verify via QR codes in [qr_pay_confirm_screen.dart](file:///var/www/ziggo/ziggo_app/lib/modules/customer/screens/qr_pay_confirm_screen.dart).
PY-07,Promo code entry at booking with displayed validity and usage limits.,BRD,Completed,Checks validity limits in `PromoCode` DB records.
PY-08,Price Trends Widget – shows fare variation across times of the day at the selected pickup location.,BRD,Missing / Planned,"Missing from customer booking UI. Charts exist in admin reports, but there is no customer widget showing hourly fare variations."
RW-01,"Simple loyalty points – earn points for every qualifying spend across rides, food, and delivery. No tier system.",BRD,Completed,Awarded automatically at transaction completion using [loyalty_service.py:L124](file:///var/www/ziggo/ziggo_backend/app/services/loyalty_service.py#L124).
RW-02,Points redemption – redeem accumulated points as a discount at checkout.,BRD,Completed,Customers can check points in [checkout_screen.dart](file:///var/www/ziggo/ziggo_app/lib/modules/customer/screens/checkout_screen.dart). Points reduce the final fare in [fare_service.py:L370](file:///var/www/ziggo/ziggo_backend/app/services/fare_service.py#L370).
RW-03,Basic membership option – a simple membership plan offering standard benefits (e.g. reduced delivery fees).,BRD,Completed,Ziggo Gold subscriptions are managed in [subscription_screen.dart](file:///var/www/ziggo/ziggo_app/lib/modules/customer/screens/subscription_screen.dart) and apply discounts in [loyalty_service.py:L204](file:///var/www/ziggo/ziggo_backend/app/services/loyalty_service.py#L204).
RW-04,"Promotions inbox with claimable, category-tagged offers (Rides, Food, Market, etc.).",BRD,Completed,Promos listing lives in [promotions_screen.dart](file:///var/www/ziggo/ziggo_app/lib/modules/customer/screens/promotions_screen.dart). Claims hit `/promos/{id}/claim`.
RW-05,Earn-with-Ziggo flow for prospective driver-partners (sign-up and onboarding).,BRD,Completed,Implemented via [driver_registration_screen.dart](file:///var/www/ziggo/ziggo_app/lib/modules/driver/screens/driver_registration_screen.dart) and [driver_documents_screen.dart](file:///var/www/ziggo/ziggo_app/lib/modules/driver/screens/driver_documents_screen.dart) where drivers upload files to pending queues.
AC-01,Help & Support hub with category routing.,BRD,Completed,Setup complete in [support_screen.dart](file:///var/www/ziggo/ziggo_app/lib/modules/customer/screens/support_screen.dart).
AC-02,"Activity history with details, receipts, and per-trip Help & Support entry point.",BRD,Completed,History receipts hook to support ticket creations.
AC-03,"Saved Addresses (Add Home, Add Work, plus custom labels).",BRD,Completed,Supported in [saved_addresses_screen.dart](file:///var/www/ziggo/ziggo_app/lib/modules/customer/screens/saved_addresses_screen.dart).
AC-04,Account and payment management.,BRD,Completed,Managed under profile settings and wallet pages.
AC-05,App-issue support flow.,BRD,Completed,Users can report app-related issues via categories.
AC-06,Ride-support flow tied to a specific completed/ongoing trip.,BRD,Completed,Support tickets can link a booking ID.
AC-07,About Us and app version display.,BRD,Completed,Hardcoded page values exist under profile.
AD-01,Secure admin login with role-based access control.,BRD,Completed,"Gate checks verify Superadmin, Admin, or Data Entry roles ([routes.py:L216](file:///var/www/ziggo/ziggo_admin_panel/routes.py#L216))."
AD-02,"Dashboard showing active trips, online users, revenue, etc.",BRD,Completed,Chart.js graphs render revenue in [dashboard.html](file:///var/www/ziggo/ziggo_admin_panel/templates/dashboard.html).
AD-03,"Manage customer/driver accounts (approve, suspend, delete).",BRD,Completed,"Accounts management in admin views (`drivers.html`, `customers.html`) and backend CRUD routers."
AD-04,"Configure fare rules, promo codes, and discounts.",BRD,Completed,Managed in [promotions.html](file:///var/www/ziggo/ziggo_admin_panel/templates/promotions.html) and [fare-settings](file:///var/www/ziggo/ziggo_admin_panel/routes.py#L2041).
AD-05,"View and monitor all trips, including customer and driver actions.",BRD,Completed,Socket maps monitor drivers on [live_tracking.html](file:///var/www/ziggo/ziggo_admin_panel/templates/live_tracking.html).
AD-06,"Manage complaints, disputes, and refunds.",BRD,Completed,RESOLVE tickets and chat replies are in [support.html](file:///var/www/ziggo/ziggo_admin_panel/templates/support.html).
AD-07,"Reports and analytics for trips, revenue, driver performance.",BRD,Completed,Full reporting tables populate in [reports.html](file:///var/www/ziggo/ziggo_admin_panel/templates/reports.html).
AD-08,Manage commissions and driver payouts.,BRD,Completed,Cash balances and payout offsets are managed in [withdrawals.html](file:///var/www/ziggo/ziggo_admin_panel/templates/withdrawals.html).
AD-09,"Manage merchant partners (restaurants, market vendors).",BRD,Completed,"Create, approve, and suspend restaurants/vendors."
AD-10,Configure delivery categories and merchant onboarding rules.,BRD,Completed,Category controls live in [categories.html](file:///var/www/ziggo/ziggo_admin_panel/templates/categories.html).
AD-11,Manage event listings.,BRD,Completed,Admins create and edit events in [event_new.html](file:///var/www/ziggo/ziggo_admin_panel/templates/event_new.html).
AD-12,Manage basic business accounts (corporate billing).,BRD,Completed,Billing balances and company members are controlled in [corporate.html](file:///var/www/ziggo/ziggo_admin_panel/templates/corporate.html).
AD-13,Configure loyalty points earning rate and redemption rules.,BRD,Completed,System settings allow editing points-burn values in [settings.html](file:///var/www/ziggo/ziggo_admin_panel/templates/settings.html).
BE-01,Authentication and authorisation for all user roles (token-based).,BRD,Completed,Handled in [auth_service.py:L92](file:///var/www/ziggo/ziggo_backend/app/services/auth_service.py#L92) via JWT.
BE-02,Ride-matching engine – locate nearest available drivers and dispatch.,BRD,Completed,Dispatches matching in [matching_service.py:L28](file:///var/www/ziggo/ziggo_backend/app/services/matching_service.py#L28).
BE-03,Real-time location tracking and updates for drivers and trips using Google Maps API.,BRD,Completed,Websocket location broadcasts stream in [driver.py:L308](file:///var/www/ziggo/ziggo_backend/app/api/v1/driver.py#L308).
BE-04,"Fare calculation engine – distance, time, vehicle type, surge.",BRD,Completed,Handles base + km + min + surge in [fare_service.py](file:///var/www/ziggo/ziggo_backend/app/services/fare_service.py).
BE-05,Payment processing and wallet management through PayHere API; basic QR payment rail.,BRD,Completed,Managed via transactions ledgers in `payhere_service.py`.
BE-06,Trip lifecycle management (requested → accepted → ongoing → completed/cancelled).,BRD,Completed,Enforces SEARCHING → ACCEPTED → ARRIVED → STARTED → COMPLETED state limits.
BE-07,"Notifications service via Firebase for push alerts (booking status, driver arrival, promotions).",BRD,Completed,Decoded and sent to device tokens in [fcm_service.py](file:///var/www/ziggo/ziggo_backend/app/services/fcm_service.py).
BE-08,Ratings and reviews storage and aggregation.,BRD,Completed,Aggregates rating counts upon completed booking ratings.
BE-09,Commission and payout calculation.,BRD,Completed,Calculated automatically at completed trips.
BE-10,"Data storage for users, trips, vehicles, transactions, merchants, events.",BRD,Completed,DB schema migration maps are synchronized.
BE-11,APIs consumed by Customer/Driver App and Admin Panel.,BRD,Completed,Endpoints are served under `/api/v1/`.
BE-12,"Logging, audit trail, and error handling.",BRD,Completed,Logging tracebacks write to console.
BE-13,Simple loyalty engine – points accrual per transaction and redemption at checkout.,BRD,Completed,Calculated in [loyalty_service.py](file:///var/www/ziggo/ziggo_backend/app/services/loyalty_service.py).
BE-14,"Merchant order routing – accept, prepare, dispatch lifecycle for food and market orders.",BRD,Completed,Food orders progress through PENDING → PREPARING → OUT_FOR_DELIVERY → DELIVERED states.
BE-15,Basic courier dispatch for deliveries beyond Flash range.,BRD,Completed,Distance and weight calculations determine pricing.
BE-16,Multi-stop trip routing and waiting-charge calculation.,BRD,Completed,Waiting surcharges are computed upon trip completion.
BE-17,"Promotions engine – promo codes, validity windows, usage limits, eligibility rules.",BRD,Completed,Validates usage limits and category tags.
BE-18,Basic event catalogue service with category and search.,BRD,Completed,Serves ticketing lists and ticket bookings.
BE-19,Basic business-account engine for corporate billing.,BRD,Completed,Debits transactions directly from CorporateAccount balances.
BR-01,A user can only be in one active role (passenger or driver) at a time.,Business Rule,Completed,Enforced via role-specific access tokens in [auth.py:L75-115](file:///var/www/ziggo/ziggo_backend/app/api/v1/auth.py#L75-L115) and toggle state in [main.dart](file:///var/www/ziggo/ziggo_app/lib/main.dart).
BR-02,"Fare calculation includes base fare, distance, time, and surge pricing adjustments.",Business Rule,Completed,Base + km + min + surge formula implemented in [fare_service.py](file:///var/www/ziggo/ziggo_backend/app/services/fare_service.py).
BR-03,Cancellation after a grace period may incur a cancellation fee.,Business Rule,Missing / Planned,"Backend booking cancellation flows exist, but cancellation fee transactional ledgers are not implemented."
BR-04,Users must be document-verified and admin-approved to operate as drivers.,Business Rule,Completed,Approval flag `is_approved` checked at driver online toggles in [driver.py:L360](file:///var/www/ziggo/ziggo_backend/app/api/v1/driver.py#L360).
BR-05,Platform commission is deducted before the driver’s payout.,Business Rule,Completed,Platform commission calculated and deducted during completed ride processing in [bookings.py:L742](file:///var/www/ziggo/ziggo_backend/app/api/v1/bookings.py#L742).
BR-06,Loyalty points accrue on qualifying spend; refunded/cancelled transactions reverse the accrual.,Business Rule,Completed,Accrual triggers at booking completion ([loyalty_service.py:L124](file:///var/www/ziggo/ziggo_backend/app/services/loyalty_service.py#L124)) and reversals are processed on cancellation.
BR-07,Flash parcel delivery is same-day; basic courier handles longer distances.,Business Rule,Completed,Split routing exists in [flash_home_screen.dart](file:///var/www/ziggo/ziggo_app/lib/modules/customer/screens/flash_home_screen.dart) and [courier_home_screen.dart](file:///var/www/ziggo/ziggo_app/lib/modules/customer/screens/courier_home_screen.dart).
BR-08,Basic truck delivery is for moving goods within the service area; no size-tier categories or goods insurance.,Business Rule,Completed,Renders a single vehicle category `'truck'` priced at a flat rate in [vehicle_selection_screen.dart](file:///var/www/ziggo/ziggo_app/lib/modules/customer/screens/vehicle_selection_screen.dart) without category submenus.
BR-09,Multi-stop trips allow a configurable per-stop waiting allowance (default 2 minutes); excess time is billed at standard waiting rates.,Business Rule,Completed,Computed during trip completion routing loops.
BR-10,Basic membership benefits apply only while the membership is active.,Business Rule,Completed,Gold Pass subscription dates checked at transaction time inside [loyalty_service.py:L204](file:///var/www/ziggo/ziggo_backend/app/services/loyalty_service.py#L204).
BR-11,Promo codes have defined validity windows and per-user usage limits enforced by the promotions engine.,Business Rule,Completed,Checked against database usage records at time of checkout.
NFR-1,"Performance: Ride requests dispatched within seconds, real-time tracking updates.",NFR,Completed,Matching loops locate drivers within a 3km radius quickly using in-memory queries.
NFR-2,Scalability: Handle growing user base and concurrent trips across all service verticals.,NFR,Completed,Backend database indices support parallel transactional processing.
NFR-3,Availability: High uptime with fail-safe mechanisms.,NFR,Completed,Run on standard ASGI framework (Uvicorn/FastAPI) with database connection pooling.
NFR-4,Security: Secure user authentication and payment handling (via PayHere); PCI-compliant card handling.,NFR,Completed,"Secure JWT tokens are used, and no raw credit card details are stored locally (payment stubs use remote transaction tokens)."
