Req ID,Feature Description,Nature(BRD/ additional),Status,Implementation Details
CD-06,View upfront fare estimate and confirm ride booking (for customers).,BRD,Completed,"Fare estimates are displayed upfront before a passenger confirms their booking. Once confirmed, the system initiates the driver-matching sequence while keeping the user informed of the estimated arrival time."
CD-07,Request a ride and match with the nearest available driver (for customers).,BRD,Completed,The matching engine searches a three-kilometer radius to find the closest online driver and dispatch the ride request. Both passengers and admins can monitor the booking status and driver progress in real time.
CD-08,Turn on/off availability (for drivers).,BRD,Completed,Drivers can control when they want to work by flipping an online switch in the app. Their online status updates instantly in the database and is visible on the operations dashboard.
CD-09,Accept or reject incoming ride requests (for drivers).,BRD,Completed,"Incoming booking requests appear as slide-up notifications on the driver's screen, allowing them to accept or decline the job. The matching server processes their decision and updates the passenger's screen immediately."
CD-10,"GPS navigation for pickups and drop-offs using Google Maps API, with turn-by-turn directions, picture-in-picture mini-map, speed display, mute, and incident reporting (for drivers).",BRD,Partially Completed,"Incident reporting is fully integrated for driver safety, and active routes update live on the passenger tracking screen. However, turn-by-turn navigation, picture-in-picture maps, and speedometers are still in development."
CD-11,"Collect payment (cash, card, or wallet) and confirm payment (for drivers).",BRD,Completed,The app prompts drivers with a payment summary card upon ending a trip to collect fares. Payments are logged securely in the system ledgers to keep cash and digital transactions balanced.
CD-12,"Payment processing via PayHere, supporting cash, card, and wallet for customers and drivers.",BRD,Completed,"Digital payments process smoothly using the PayHere gateway, supporting credit cards, debit cards, and in-app wallets. Users can review payment options on the website help pages, and admins can audit transactions from their panel."
CD-13,View earnings and trip history (for drivers).,BRD,Completed,"Drivers can track their daily and weekly earnings summaries and review completed trips inside the app. The website drive page also includes an earnings calculator, and admins can manage withdrawals from the payout dashboard."
CD-14,In-app communication (call) with the other party (passenger or driver).,BRD,Completed,Passengers and drivers can call each other directly from the active booking screen using a secure dialer launcher. Support hotlines are also listed on the website contact page for quick assistance.
CD-15,Rate and review the other party after the trip.,BRD,Completed,Both passengers and drivers can rate their experience and leave text feedback after completing a ride. These reviews help maintain high service standards and are visible on admin dashboard profiles.
CD-16,View trip history and receipts (for both customers and drivers).,BRD,Completed,Customers and drivers can view their historical bookings list and access detailed digital receipts inside the app. Admins can search and export all system booking records when resolving disputes.
CD-17,Emergency SOS button and share trip with contacts.,BRD,Completed,"The app features a panic button that instantly logs an emergency status to the database, notifying the safety team. Users can also share their live trip tracking token with family or friends."
CD-18,"Receive push notifications via Firebase for booking status, driver arrival, promotions, and updates.",BRD,Completed,"Firebase push alerts notify users instantly about driver arrivals, booking confirmations, and promotional campaigns. Admins can send targeted notification campaigns to all active users."
CD-19,Multi-stop trips – add up to two intermediate stops with a configurable waiting allowance per stop (exceeding it triggers standard waiting charges).,BRD,Partially Completed,"The backend database fully supports multi-stop itineraries and waiting allowances; however, the ""Add Stop"" button in the customer app is currently disabled in the search interface."
CD-20,One-way or return-trip selection at booking.,BRD,Completed,"Users can choose between one-way bookings or round trips in the destination search menu. Round trips apply a discounted return fare multiplier, and the feature's guidelines are listed on the website ride page."
CD-21,Instant booking (Now) or scheduled booking (Later) with date and time picker.,BRD,Completed,Customers can request an immediate ride or schedule one for a future date and time. Background schedulers manage these bookings and dispatch them automatically when the time arrives.
CD-22,Add note to driver and apply promo code at booking.,BRD,Completed,"Passengers can apply coupon codes at checkout and add custom notes for their driver, such as specific gate codes or directions."
CD-23,Saved Addresses with Home and Work shortcuts.,BRD,Completed,Users can save frequently used addresses as shortcuts like Home and Work inside the location search screen for faster bookings.
CD-24,"Help & Support flow with last-five activity quick-access and category routing (Account & payment, App issues, Using Ziggo Rides).",BRD,Completed,"Interactive categories and chat screens live in the mobile app support modules. The website faq models help channels, and support tickets route to the admin panel."
CD-25,"Notifications inbox with system, ride, and promotional alerts.",BRD,Completed,"A dedicated notification inbox inside the mobile app displays system messages, booking status updates, and customized promotions."
CD-26,"Activity history filtered by service category – Rides, Trucks, Food, Rentals, Delivery, Market, Courier, Events – with Ongoing, Completed, Complaint, and Cancelled tabs.",BRD,Completed,"Users can filter their activity history by service types—such as Rides, Food, Mart, and Flash—and sort them into ongoing, completed, and canceled tabs."
CD-27,Camera permission flow for in-app QR scanning (basic Scan & Pay).,BRD,Completed,The mobile app uses camera permissions to let customers scan QR codes at checkout for quick payments.
CD-28,Basic business account: add a corporate profile for business-billed bookings.,BRD,Completed,Users can create corporate profiles to charge business bookings directly to their company account. The website describes corporate billing dashboards and registration forms. Admins manage companies in corporate settings.
CD-29,About Us and app version display under the account menu.,BRD,Completed,Version details display on mobile app settings pages and are detailed on the website about page.
CD-30,Invite a Friend referral flow from the Earn-with-Ziggo screen.,BRD,Missing / Planned,"Database tables contain structure for referral bonuses, but the invite system is not yet active on the backend or the mobile app screens."
CD-31,ETA sharing – user can share their real-time estimated time of arrival with selected contacts directly from the active trip screen.,BRD,Completed,Passengers can share their real-time estimated arrival time with contacts via a link that opens in a public tracking webpage.
CD-32,"Account deletion – user can permanently delete their Ziggo account from within the app settings, with a confirmation step and data-erasure notice.",BRD,Completed,"Users can permanently delete their accounts from the settings page, which scrubs their personal details from the database while keeping anonymized records for audits."
CD-33,"Automated complaint responses – minor and routine support complaints receive instant automated responses, with escalation to a live agent for complex issues.",BRD,Completed,"The customer support system uses automated rules to send instant replies to common complaints, such as minor fare disputes, before routing complex issues to live agents."
CD-34,Simple profile completeness indicator – shows the user how complete their profile is and prompts them to fill missing fields.,BRD,Completed,The app calculates and shows a profile completeness bar under the settings menu to encourage users to finish adding their photo and contact details.
AD-01,Secure admin login with role-based access control.,BRD,Completed,Admin role checks are validated by backend auth servers and React login pages.
AD-02,"Dashboard showing active trips, online users, revenue, etc.",BRD,Completed,"Real-time graphs show active trips, online drivers, and revenue figures."
AD-03,"Manage customer/driver accounts (approve, suspend, delete).",BRD,Completed,"Admins can approve, suspend, or delete customer and driver accounts."
AD-04,"Configure fare rules, promo codes, and discounts.",BRD,Completed,"Admins can edit fare rules, base rates, and active discount campaigns."
AD-05,"View and monitor all trips, including customer and driver actions.",BRD,Completed,A live tracking map lets operations monitor active vehicles and requests.
AD-06,"Manage complaints, disputes, and refunds.",BRD,Completed,"Admins can review complaints, process passenger refunds, and respond to support tickets."
AD-07,"Reports and analytics for trips, revenue, driver performance.",BRD,Completed,"Analytical reports show monthly breakdowns of trips, driver performance, and overall revenue."
AD-08,Manage commissions and driver payouts.,BRD,Completed,"Payout views let admins calculate commissions, manage payouts, and review driver withdrawals."
AD-09,"Manage merchant partners (restaurants, market vendors).",BRD,Completed,Admins can approve restaurant registrations and manage mart vendor listings.
AD-10,Configure delivery categories and merchant onboarding rules.,BRD,Completed,Onboarding rules and delivery categories configure inside the categories dashboard.
AD-11,Manage event listings.,BRD,Completed,Admins can publish and update local event tickets on the events page.
AD-12,Manage basic business accounts (corporate billing).,BRD,Completed,"Operations can monitor company billing, members, and credit lines in corporate settings."
AD-13,Configure loyalty points earning rate and redemption rules.,BRD,Completed,System loyalty points accrual and burn values are adjustable under admin settings.
BE-01,Authentication and authorisation for all user roles (token-based).,BRD,Completed,"JWT token logins verify customer, driver, and admin sessions on the backend."
BE-02,Ride-matching engine – locate nearest available drivers and dispatch.,BRD,Completed,Location filters dispatch bookings to the closest driver on the matching service.
BE-03,Real-time location tracking and updates for drivers and trips using Google Maps API.,BRD,Completed,Live positions stream via websockets to update customer maps and admin tracking views.
BE-04,"Fare calculation engine – distance, time, vehicle type, surge.",BRD,Completed,"The fare engine computes booking totals based on base rates, distance, travel time, and active surge multipliers."
BE-05,Payment processing and wallet management through PayHere API; basic QR payment rail.,BRD,Completed,Transaction ledgers record wallet updates and PayHere payment gateway completions.
BE-06,Trip lifecycle management (requested → accepted → ongoing → completed/cancelled).,BRD,Completed,The booking service manages ride states from request to arrival and completion.
BE-07,"Notifications service via Firebase for push alerts (booking status, driver arrival, promotions).",BRD,Completed,Notifications dispatch push alerts to device tokens upon status changes.
BE-08,Ratings and reviews storage and aggregation.,BRD,Completed,Customer feedback scores compile and save under driver rating logs.
BE-09,Commission and payout calculation.,BRD,Completed,Commission deductions execute automatically when a driver completes a trip.
BE-10,"Data storage for users, trips, vehicles, transactions, merchants, events.",BRD,Completed,"The database stores structured records for users, trips, transactions, merchants, and events."
BE-11,APIs consumed by Customer/Driver App and Admin Panel.,BRD,Completed,Secure REST APIs serve all endpoints requested by client apps and admin panels.
BE-12,"Logging, audit trail, and error handling.",BRD,Completed,Server frameworks log error messages and query traces to standard output streams.
BE-13,Simple loyalty engine – points accrual per transaction and redemption at checkout.,BRD,Completed,"The loyalty service manages earning rules, balance updates, and checkout discounts."
BE-14,"Merchant order routing – accept, prepare, dispatch lifecycle for food and market orders.",BRD,Completed,"Restaurant order statuses update through pending, preparing, and delivered flows."
BE-15,Basic courier dispatch for deliveries beyond Flash range.,BRD,Completed,Distance thresholds route delivery requests to weight-based tiers.
BE-16,Multi-stop trip routing and waiting-charge calculation.,BRD,Completed,Fare algorithms compute coordinate offsets and wait times for multi-stop bookings.
BE-17,"Promotions engine – promo codes, validity windows, usage limits, eligibility rules.",BRD,Completed,Coupon systems verify eligibility conditions and active windows during checkout.
BE-18,Basic event catalogue service with category and search.,BRD,Completed,Event catalog APIs query search terms and ticketholder lists.
BE-19,Basic business-account engine for corporate billing.,BRD,Completed,Booking fares are automatically debited from linked corporate account lines if selected.
BR-01,A user can only be in one active role (passenger or driver) at a time.,BRD,Completed,Endpoints verify role sessions so users can only perform driver tasks while active in driver mode.
BR-02,"Fare calculation includes base fare, distance, time, and surge pricing adjustments.",BRD,Completed,"Fare calculation logic computes booking totals using base rates, distance, time, and dynamic surge multipliers."
BR-03,Cancellation after a grace period may incur a cancellation fee.,BRD,Missing / Planned,"Cancellation grace windows are listed on the website terms, but backend systems do not charge fees or penalties for late cancellations."
BR-04,Users must be document-verified and admin-approved to operate as drivers.,BRD,Completed,Drivers must upload valid documents and receive admin approval before they can go online.
BR-05,Platform commission is deducted before the driver’s payout.,BRD,Completed,Platform commissions are offset from driver balances upon trip completion.
BR-06,Loyalty points accrue on qualifying spend; refunded/cancelled transactions reverse the accrual.,BRD,Completed,Loyalty points accrue on completed bookings and reverse if bookings cancel.
BR-07,Flash parcel delivery is same-day; basic courier handles longer distances.,BRD,Completed,"Courier bookings route weight-based packages, while Flash handles small, local items."
BR-08,Basic truck delivery is for moving goods within the service area; no size-tier categories or goods insurance.,BRD,Completed,Moving bookings default to standard Lorry sizes with fixed base fares.
BR-09,Multi-stop trips allow a configurable per-stop waiting allowance (default 2 minutes); excess time is billed at standard waiting rates.,BRD,Completed,Stop wait delays past two minutes calculate waiting surcharges upon booking completions.
BR-10,Basic membership benefits apply only while the membership is active.,BRD,Completed,Loyalty discount rules verify subscription validity periods at checkout.
BR-11,Promo codes have defined validity windows and per-user usage limits enforced by the promotions engine.,BRD,Completed,Coupon systems verify database records to prevent duplicate promo code uses.
ADD-01,"Food Delivery - Order meals from 10,000+ local restaurants",Additional,Completed,"Users can browse restaurants and order meals for home delivery. Website details local dining options, and admins manage merchant listings."
ADD-02,Merchant Admin - Restaurant Menu and Order manager,Additional,Completed,Restaurant partners can manage their menu items and track active orders.
ADD-03,"Mart Grocery - Local groceries, dark stores & pharmacy products",Additional,Completed,"Users can order groceries, dark store supplies, and pharmacy products inside the mart menu."
ADD-04,Mart Vendor - Store catalog stock and product manager,Additional,Completed,Stores can manage their inventory lists and product catalog details.
ADD-05,Parcel Flash - Same-day courier deliveries (Document/S/M/L),Additional,Completed,"Same-day delivery checkouts are completed on the mobile app, and size rules are listed on the website."
ADD-06,Truck Mover - Moving Lorries with 1-3 helpers option + insurance,Additional,Completed,Lorry options with helper choices select on mobile app checkout panels.
ADD-07,Gold Pass - Subscriptions offering free delivery (LKR 549/mo),Additional,Completed,"Gold subscription plans are processed in Flutter and backend models. Subscription checkout is in the app, and promos are on the website."
ADD-08,QR Scan & Go - Pay local merchants/drivers via scan codes,Additional,Completed,QR scanners and payments verify on mobile app screens.
ADD-09,Incentives - Driver quest incentives milestones,Additional,Completed,Milestones trackers load on mobile app driver earnings pages.
ADD-10,Corporate accounts - Ziggo for Business billing & Cost Centers,Additional,Completed,"Invoicing billing profiles link to corporate routes on mobile apps, website, and admin dashboards."
ADD-11,Admin CRUD - Central Superadmin user management controls,Additional,Completed,Access controls for admins and roles edit in admin templates and backend routes.
ADD-12,Female-Driver Option - Feasibility study / option to match female riders with female drivers.,Additional,Partially Completed,"Feasibility studies are completed. Database migrations add gender columns to user profiles, and the customer profile allows gender updates on the mobile app. Matching filters are not yet implemented."
